id,title,price,link,image_link
R1202,Natural Finish Powder Bronzer - Terra,67.50 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/749/s/natural-finish-powder-bronzer/#227=321,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e0fd14e05_R1202.jpg
R501,Long Lasting Extra Cover Concealer - 1N Light,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/388/s/long-lasting-extra-cover-concealer/#228=228,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146fe421af5d_R501.jpg
R5,Long Lasting Extra Cover Concealer,39.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/388/s/long-lasting-extra-cover-concealer/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146fd363a769_R501.jpg
R502,Long Lasting Extra Cover Concealer - 1.5N Medium,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/388/s/long-lasting-extra-cover-concealer/#228=229,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ff3b97673_R502.jpg
R503,Long Lasting Extra Cover Concealer - 2N Natural,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/388/s/long-lasting-extra-cover-concealer/#228=230,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6147003ddcedc_R503.jpg
R1,Traceless Longwear Perfecting Foundation,54.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e82e241c6_R101.jpg
R102,Traceless Longwear Perfecting Foundation -  1C Ivory,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=297,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e1f0997b9_R102.jpg
R103,Traceless Longwear Perfecting Foundation - 1.5N Cream,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=298,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e311253e7_R103.jpg
R104,Traceless Longwear Perfecting Foundation - 2N Linen,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=299,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e419735bd_R104.jpg
R105,Traceless Longwear Perfecting Foundation - 2C pale dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=300,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e51471f42_R105.jpg
R106,Traceless Longwear Perfecting Foundation - 3N natural,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=301,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e60e475c9_R106.jpg
R107,Traceless Longwear Perfecting Foundation - 3C Dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=302,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e716147df_R107.jpg
R108,Traceless Longwear Perfecting Foundation - 4N warm dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=303,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e81892f30_R108.jpg
R109,Traceless Longwear Perfecting Foundation - 5N bare,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=304,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e91622497_R109.jpg
R110,Traceless Longwear Perfecting Foundation - 6N warm honey,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/397/s/traceless-longwear-perfecting-foundation/#230=305,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146ea0a993ad_R110.jpg
R303,Skin Iilluminating Rich Cream Foundation - 1.5N Cream,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=349,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f304580b4_R303.jpg
R304,Skin Iilluminating Rich Cream Foundation - 2N Linen,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=350,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f39541640_R304.jpg
R306,Skin Iilluminating Rich Cream Foundation - 3N Natural,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=351,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f4413734d_R306.jpg
R308,Skin Iilluminating Rich Cream Foundation - 4N Warm Dune,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=356,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f4f05fbdf_R308.jpg
R309,Skin Iilluminating Rich Cream Foundation - 5N Bare,54.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=354,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f25485ee8_R301.jpg
R310,Skin Iilluminating Rich Cream Foundation - 6N Warm Honey,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=355,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f5827c387_R310.jpg
R311,Skin Iilluminating Rich Cream Foundation - 7N Warm Almond,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=358,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f6323bd91_R311.jpg
R312,Skin Iilluminating Rich Cream Foundation - 8N Dusk,75.00 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/574/s/skin-iilluminating-rich-cream-foundation/#232=357,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146f6cb63c38_R312.jpg
R801,Satin Wear Lipcolor Paradisio,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=370,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d5a99c887_R801.jpg
R802,Satin Wear Lipcolor Temtation,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=371,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d65849279_R802.jpg
R803,Satin Wear Lipcolor Rouge,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=372,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d7078fcac_R803.jpg
R804,Satin Wear Lipcolor Aphrodite,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=373,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d7b59cdda_R804.jpg
R805,Satin Wear Lipcolor Lilac,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=374,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d86734b13_R805.jpg
R806,Satin Wear Lipcolor Bare pitch,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=375,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d91edfaa0_R806.jpg
R807,Satin Wear Lipcolor Plum,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=376,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167d9ce93c24_R807.jpg
R808,Satin Wear Lipcolor Lust,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=377,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167da7c40e20_R808.jpg
R809,Satin Wear Lipcolor Deep Rose,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=378,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167db23a1d16_R809.jpg
R810,Satin Wear Lipcolor Mustique,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=379,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167dbcd7af0a_R810.jpg
R811,Satin Wear Lipcolor Sun set,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=380,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167dc99144d4_R811.jpg
R812,Satin Wear Lipcolor Mystery,49.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/750/s/satin-wear-lipcolor/#233=381,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6167dd5fc2684_R812.jpg
R701,Satin Wear Liquid Lip Color Framboise,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=395,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f85403665e11_R701.jpg
R702,Satin Wear Liquid Lip Color Bordeaux,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=399,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f8540837ea1d_R702.jpg
R703,Satin Wear Liquid Lip Color Dark Purple,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=398,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f8540c795aa6_R703.jpg
R704,Satin Wear Liquid Lip Color Corail,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=397,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f85410c140cf_R704.jpg
R705,Satin Wear Liquid Lip Color Rosewood,32.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/751/s/satin-wear-liquid-lip-color/#244=396,https://www.premierdeadsea-usa.com/pub/media/catalog/product/5/f/5f85414fbaa1d_R705.jpg
